psLayout version 3

match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q        	Q   	Q    	Q  	T        	T   	T    	T  	block	blockSizes 	qStarts	 tStarts
     	match	match	   	count	bases	count	bases	      	name     	size	start	end	name     	size	start	end	count
---------------------------------------------------------------------------------------------------------------------------------------------------------------
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1105:13264:35544_R1	100	0	100	chr8	146364022	128691813	128691913	1	100,	0,	128691813,
37	0	0	0	0	0	2	2	-	HS2000-887_357:3:1105:13264:35544_R1	100	19	56	chr3	198022430	146472657	146472696	3	28,5,4,	44,72,77,	146472657,146472686,146472692,
41	0	0	0	0	0	1	30	-	HS2000-887_357:3:1105:13264:35544_R1	100	15	56	chr20	63025520	11808007	11808078	2	31,10,	44,75,	11808007,11808068,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1105:13264:35544_R2	100	0	100	chr8	146364022	129615442	129615542	1	100,	0,	129615442,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1111:21024:7945_R1	100	0	100	chr8	146364022	129615354	129615454	1	100,	0,	129615354,
99	1	0	0	0	0	0	0	+	HS2000-887_357:3:1111:21024:7945_R2	100	0	100	chr8	146364022	128691774	128691874	1	100,	0,	128691774,
37	0	0	0	0	0	2	2	-	HS2000-887_357:3:1111:21024:7945_R2	100	58	95	chr3	198022430	146472657	146472696	3	28,5,4,	5,33,38,	146472657,146472686,146472692,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1116:11156:8408_R1	100	0	100	chr8	146364022	129615407	129615507	1	100,	0,	129615407,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1116:11156:8408_R2	100	0	100	chr8	146364022	128691840	128691940	1	100,	0,	128691840,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1202:13707:78291_R1	100	0	100	chr8	146364022	128691827	128691927	1	100,	0,	128691827,
39	3	0	0	0	0	1	2	+	HS2000-887_357:3:1202:13707:78291_R1	100	0	42	chr7	159138663	146189318	146189362	2	30,12,	0,30,	146189318,146189350,
41	0	0	0	0	0	1	30	-	HS2000-887_357:3:1202:13707:78291_R1	100	1	42	chr20	63025520	11808007	11808078	2	31,10,	58,89,	11808007,11808068,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1202:13707:78291_R2	100	0	100	chr8	146364022	129615436	129615536	1	100,	0,	129615436,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1202:18146:98125_R1	100	0	100	chr8	146364022	129615334	129615434	1	100,	0,	129615334,
82	0	0	0	0	0	0	0	+	HS2000-887_357:3:1202:18146:98125_R2	100	18	100	chr8	146364022	128691765	128691847	1	82,	18,	128691765,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1210:4655:26854_R1	100	0	100	chr8	146364022	128691869	128691969	1	100,	0,	128691869,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1210:4655:26854_R2	100	0	100	chr8	146364022	129615480	129615580	1	100,	0,	129615480,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1214:4699:59548_R1	100	0	100	chr8	146364022	128691880	128691980	1	100,	0,	128691880,
92	1	0	0	0	0	0	0	+	HS2000-887_357:3:1214:4699:59548_R2	100	0	93	chr8	146364022	129615502	129615595	1	93,	0,	129615502,
83	1	0	0	0	0	0	0	+	HS2000-887_357:3:1215:13086:98618_R1	100	16	100	chr8	146364022	128691765	128691849	1	84,	16,	128691765,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1215:13086:98618_R2	100	0	100	chr8	146364022	129615392	129615492	1	100,	0,	129615392,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1312:15462:62529_R1	100	0	100	chr8	146364022	128691893	128691993	1	100,	0,	128691893,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:1312:15462:62529_R2	100	0	100	chr8	146364022	129615404	129615504	1	100,	0,	129615404,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:2101:8425:29843_R1	100	0	100	chr8	146364022	128691864	128691964	1	100,	0,	128691864,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:2101:8425:29843_R2	100	0	100	chr8	146364022	129615465	129615565	1	100,	0,	129615465,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:2212:13125:5130_R1	100	0	100	chr8	146364022	129615362	129615462	1	100,	0,	129615362,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:2212:13125:5130_R2	100	0	100	chr8	146364022	128691859	128691959	1	100,	0,	128691859,
100	0	0	0	0	0	0	0	+	HS2000-887_357:3:2213:15728:29221_R1	100	0	100	chr8	146364022	128691844	128691944	1	100,	0,	128691844,
97	1	0	0	0	0	0	0	+	HS2000-887_357:3:2213:15728:29221_R2	100	0	98	chr8	146364022	129615497	129615595	1	98,	0,	129615497,
100	0	0	0	0	0	0	0	+	HS2000-887_357:4:1106:12871:79654_R1	100	0	100	chr8	146364022	128691852	128691952	1	100,	0,	128691852,
91	1	0	0	0	0	0	0	+	HS2000-887_357:4:1106:12871:79654_R2	100	0	92	chr8	146364022	129615503	129615595	1	92,	0,	129615503,
98	2	0	0	0	0	0	0	+	HS2000-887_357:4:1201:16782:27697_R1	100	0	100	chr8	146364022	128691947	128692047	1	100,	0,	128691947,
65	1	0	0	0	0	0	0	+	HS2000-887_357:4:1201:16782:27697_R2	100	0	66	chr8	146364022	129615529	129615595	1	66,	0,	129615529,
41	0	0	0	0	0	0	0	+	HS2000-887_357:4:1201:16782:27697_R2	100	59	100	chr8	146364022	128691765	128691806	1	41,	59,	128691765,
100	0	0	0	0	0	0	0	+	HS2000-887_357:4:1207:12575:79768_R1	100	0	100	chr8	146364022	128691869	128691969	1	100,	0,	128691869,
99	1	0	0	0	0	0	0	+	HS2000-887_357:4:1207:12575:79768_R2	100	0	100	chr8	146364022	129615377	129615477	1	100,	0,	129615377,
100	0	0	0	0	0	0	0	+	HS2000-887_357:4:1303:9765:31003_R1	100	0	100	chr8	146364022	128691907	128692007	1	100,	0,	128691907,
100	0	0	0	0	0	0	0	+	HS2000-887_357:4:1303:9765:31003_R2	100	0	100	chr8	146364022	129615477	129615577	1	100,	0,	129615477,
100	0	0	0	0	0	0	0	+	HS2000-887_357:4:2110:13869:92662_R1	100	0	100	chr8	146364022	129615384	129615484	1	100,	0,	129615384,
100	0	0	0	0	0	0	0	+	HS2000-887_357:4:2110:13869:92662_R2	100	0	100	chr8	146364022	128691809	128691909	1	100,	0,	128691809,
32	2	0	0	0	0	0	0	+	HS2000-887_357:4:2110:13869:92662_R2	100	29	63	chr12	133851895	133047649	133047683	1	34,	29,	133047649,
37	0	0	0	0	0	2	2	-	HS2000-887_357:4:2110:13869:92662_R2	100	23	60	chr3	198022430	146472657	146472696	3	28,5,4,	40,68,73,	146472657,146472686,146472692,
100	0	0	0	0	0	0	0	+	HS2000-887_357:4:2210:4709:79577_R1	100	0	100	chr8	146364022	128691807	128691907	1	100,	0,	128691807,
39	3	0	0	0	0	1	2	+	HS2000-887_357:4:2210:4709:79577_R1	100	20	62	chr7	159138663	146189318	146189362	2	30,12,	20,50,	146189318,146189350,
32	2	0	0	0	0	0	0	+	HS2000-887_357:4:2210:4709:79577_R1	100	31	65	chr12	133851895	133047649	133047683	1	34,	31,	133047649,
41	0	0	0	0	0	1	30	-	HS2000-887_357:4:2210:4709:79577_R1	100	21	62	chr20	63025520	11808007	11808078	2	31,10,	38,69,	11808007,11808068,
